id,sku,brand,model,model_guess_from_sku,side,part_type,part_category,new_name_he,new_name_ar,new_name_en,current_title_he,current_name_ar,current_name_en,price,stock,notes
2653,HTP-CF036,Daf,,CF,,door_mirror,body,מראת דלת דאף,مرآة باب داف,DAF Door Mirror,מראת דלת,مرآة الباب,Door Mirror,480,outofstock,غير متوفر
1258,HTP-CF038L,Daf,,CF,L,corner_panel_outer,body,מסית רוח חיצוני דאף שמאל,كاسر هواء خارجي داف يسار,DAF Outer Wind Deflector Panel – Left,מסית רוח חיצוני דאף,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,900,instock,
1256,HTP-CF038R,Daf,,CF,R,corner_panel_outer,body,מסית רוח חיצוני דאף ימין,كاسر هواء خارجي داف يمين,DAF Outer Wind Deflector Panel – Right,מסית רוח חיצוני דאף,لوحة زاوية المقصورة الأمامية – يمين,Front Cab Corner Panel – Right,900,instock,
1259,HTP-CF039,Daf,,CF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,شبك مشعّ,Radiator Grille,800,instock,
1261,HTP-CF057L,Daf,,CF,L,mirror_electric,body,מראה צד חשמלית דאף שמאל,مرآة جانبية كهربائية داف يسار,DAF Electric Side Mirror – Left,מראה צד חשמלית,وحدة مرآة جانبية كهربائية كاملة – يسار,Complete Electric Side Mirror Unit – Left,790,instock,
1260,HTP-CF057R,Daf,,CF,R,mirror_electric,body,מראה צד חשמלית דאף ימין,مرآة جانبية كهربائية داف يمين,DAF Electric Side Mirror – Right,מראה צד חשמלית,طقم مرآة جانبية كهربائية كاملة – يمين,Complete Electric Side Mirror Assembly – Right,790,instock,
1106,HTP-CF067L,Daf,,CF,L,headlight_led,lighting,פנס קדמי LED דאף שמאל,ضوء أمامي LED داف يسار,DAF LED Headlight – Left,פנס קדמי חזית ליד,مصباح أمامي – يسار,Headlight – Left,950,instock,
1105,HTP-CF067R,Daf,,CF,R,headlight_led,lighting,פנס קדמי LED דאף ימין,ضوء أمامي LED داف يمين,DAF LED Headlight – Right,פנס קדמי חזית ליד,وحدة مصباح – يمين,Headlight Unit – Right,950,instock,
1100,HTP-DXF001L,Daf,,XF,L,headlight,lighting,פנס קדמי דאף שמאל,ضوء أمامي داف يسار,DAF Headlight – Left,#N/A,وحدة مصباح أمامي – يسار,Headlight Unit – Left,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1098,HTP-DXF001R,Daf,,XF,R,headlight,lighting,פנס קדמי דאף ימין,ضوء أمامي داف يمين,DAF Headlight – Right,#N/A,طقم مصباح أمامي – يمين,Headlight Kit – Right,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر
1263,HTP-DXF003L,Daf,,XF,L,tail_light,lighting,פנס אחורי בקלית דאף שמאל,ضوء خلفي داف يسار,DAF Tail Light – Left,פנס איתות אחורי בקלית,طقم المصباح الخلفي الكامل – يسار,Complete Rear Tail Light Assembly – Left,130,instock,
1262,HTP-DXF003R,Daf,,XF,R,tail_light,lighting,פנס אחורי בקלית דאף ימין,ضوء خلفي داف يمين,DAF Tail Light – Right,פנס איתות אחורי בקלית,مصباح خلفي – يمين,Rear Tail Light – Right,130,instock,
