id,sku,brand,model,model_guess_from_sku,side,part_type,part_category,new_name_he,new_name_ar,new_name_en,current_title_he,current_name_ar,current_name_en,price,stock,notes,oe_number,photos,inventory_name_he,models_raw,compat_models,model_note
2653,HTP-CF036,Daf,CF,CF,,door_mirror,body,מראת דלת דאף,مرآة باب داف,DAF Door Mirror,מראת דלת,مرآة الباب,Door Mirror,480,outofstock,غير متوفر,,,,,DAF CF,not in inventory; model from SKU code (check)
1258,HTP-CF038L,Daf,CF,CF,L,corner_panel_outer,body,מסית רוח חיצוני דאף שמאל,كاسر هواء خارجي داف يسار,DAF Outer Wind Deflector Panel – Left,מסית רוח חיצוני דאף,لوحة زاوية المقصورة الأمامية – يسار,Front Cab Corner Panel – Left,900,instock,,"1843707
1844275",,מסית רוח חיצוני דאף / כנף קדמי,דאף CF,DAF CF,
1256,HTP-CF038R,Daf,CF,CF,R,corner_panel_outer,body,מסית רוח חיצוני דאף ימין,كاسر هواء خارجي داف يمين,DAF Outer Wind Deflector Panel – Right,מסית רוח חיצוני דאף,لوحة زاوية المقصورة الأمامية – يمين,Front Cab Corner Panel – Right,900,instock,,"1843708
1844276",404-406,מסית רוח חיצוני דאף / כנף קדמי,דאף CF,DAF CF,
1259,HTP-CF039,Daf,CF,CF,,grille_front,body,גריל קדמי דאף,شبك أمامي داف,DAF Front Grille,גריל קדמי דאף,شبك مشعّ,Radiator Grille,800,instock,,1886592,265-267,גריל קדמי דאף,דאף CF,DAF CF,
1261,HTP-CF057L,Daf,CF,CF,L,mirror_electric,body,מראה צד חשמלית דאף שמאל,مرآة جانبية كهربائية داف يسار,DAF Electric Side Mirror – Left,מראה צד חשמלית,وحدة مرآة جانبية كهربائية كاملة – يسار,Complete Electric Side Mirror Unit – Left,790,instock,,"1952141
1808561",,מראה צד חשמלית,דאף CF,DAF CF,
1260,HTP-CF057R,Daf,CF,CF,R,mirror_electric,body,מראה צד חשמלית דאף ימין,مرآة جانبية كهربائية داف يمين,DAF Electric Side Mirror – Right,מראה צד חשמלית,طقم مرآة جانبية كهربائية كاملة – يمين,Complete Electric Side Mirror Assembly – Right,790,instock,,"1952146
1813005",391-395,מראה צד חשמלית,דאף CF,DAF CF,
1106,HTP-CF067L,Daf,LF 12-15 טון יורו 6,CF,L,headlight_led,lighting,פנס קדמי LED דאף שמאל,ضوء أمامي LED داف يسار,DAF LED Headlight – Left,פנס קדמי חזית ליד,مصباح أمامي – يسار,Headlight – Left,950,instock,,2134323,118-121,פנס קדמי חזית דאף,דאף - יורו  6 מתאים 12-15 טון,DAF LF,model inferred from tonnage
1105,HTP-CF067R,Daf,LF 12-15 טון יורו 6,CF,R,headlight_led,lighting,פנס קדמי LED דאף ימין,ضوء أمامي LED داف يمين,DAF LED Headlight – Right,פנס קדמי חזית ליד,وحدة مصباح – يمين,Headlight Unit – Right,950,instock,,2134324,114-117,פנס קדמי חזית דאף,דאף - יורו  6 מתאים 12-15 טון,DAF LF,model inferred from tonnage
1100,HTP-DXF001L,Daf,XF,XF,L,headlight,lighting,פנס קדמי דאף שמאל,ضوء أمامي داف يسار,DAF Headlight – Left,#N/A,وحدة مصباح أمامي – يسار,Headlight Unit – Left,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر,,,,,DAF XF,not in inventory; model from SKU code (check)
1098,HTP-DXF001R,Daf,XF,XF,R,headlight,lighting,פנס קדמי דאף ימין,ضوء أمامي داف يمين,DAF Headlight – Right,#N/A,طقم مصباح أمامي – يمين,Headlight Kit – Right,1000,outofstock,العنوان العبري كان #N/A؛ غير متوفر,,,,,DAF XF,not in inventory; model from SKU code (check)
